BBETF0432,20230519,1075.0,1078.0,1074.12,1077.52,3207,
BBL,20230519,2898.3,2930.0,2820.0,2837.3,15254,
BBOX,20230519,135.65,138.5,131.65,135.2,77407,
BBTC,20230519,939.05,952.15,938.55,945.1,20386,
BBTCL,20230519,237.95,238.5,231.35,236.55,1385,
BCG,20230519,14.8,14.9,14.8,14.8,14793705,
BCLIND,20230519,460.05,465.35,456.5,460.7,105524,
BCONCEPTS,20230519,255.15,262.8,245.1,246.1,14673,
BDL,20230519,1073.5,1081.85,1040.1,1056.4,315129,
BEARDSELL,20230519,23.75,23.8,22.85,23.05,44714,
BECTORFOOD,20230519,664.95,668.0,635.0,651.1,264707,
BEDMUTHA,20230519,55.2,56.85,55.2,56.0,1177,
BEL,20230519,107.8,107.85,105.7,107.0,9255095,
BEML,20230519,1450.0,1455.0,1413.5,1418.25,101352,
BEPL,20230519,132.0,138.0,132.0,136.25,2159112,
BERGEPAINT,20230519,625.0,629.75,617.0,625.25,864620,
BESTAGRO,20230519,1075.0,1084.95,1046.0,1059.55,35155,
BFINVEST,20230519,371.55,375.45,370.1,372.8,6446,
BFUTILITIE,20230519,341.5,344.15,334.1,339.4,100368,
BGRENERGY,20230519,54.3,54.3,52.4,52.95,110714,
BHAGCHEM,20230519,1549.95,1560.0,1517.05,1549.25,13230,
BHAGERIA,20230519,124.25,126.5,124.25,125.45,4926,
BHAGYANGR,20230519,48.8,49.3,47.3,48.8,25348,
BHANDARI,20230519,4.9,4.9,4.6,4.75,368212,
BHARATFORG,20230519,768.0,768.0,752.85,757.3,1096316,
BHARATGEAR,20230519,122.6,123.0,119.15,120.9,38611,
BHARATRAS,20230519,10099.95,10099.95,9918.0,9941.5,238,
BHARATWIRE,20230519,159.4,159.9,155.35,157.45,248095,
BHARTIARTL,20230519,799.35,808.35,793.25,805.75,3432240,
BHEL,20230519,81.85,81.85,79.5,80.05,14458238,
BIGBLOC,20230519,174.0,177.0,163.3,171.05,262283,
BIKAJI,20230519,382.0,384.65,376.8,384.2,151370,
BIL,20230519,183.05,185.25,176.1,178.2,2739,
BINANIIND,20230519,23.55,25.2,22.8,24.85,163082,
BIOCON,20230519,245.0,246.65,240.55,241.75,2389591,
BIOFILCHEM,20230519,43.65,44.0,43.3,43.95,5300,
BIRLACABLE,20230519,162.75,171.0,159.5,167.5,1239578,
BIRLACORPN,20230519,1000.1,1003.25,980.0,987.55,71093,
BIRLAMONEY,20230519,51.3,51.55,50.5,50.85,24411,
BLAL,20230519,174.0,174.05,167.35,170.7,95043,
BLBLIMITED,20230519,21.95,22.5,19.75,19.95,772929,
BLISSGVS,20230519,73.3,74.4,72.7,73.05,109333,
BLKASHYAP,20230519,42.1,42.45,41.35,41.65,403459,
BLS,20230519,175.6,180.0,173.6,174.45,4175331,
BLUEDART,20230519,6063.1,6075.0,5980.0,6051.25,7637,
BLUESTARCO,20230519,1430.0,1430.0,1398.5,1403.3,94095,
BODALCHEM,20230519,68.0,68.5,66.5,67.25,148583,
BOHRAIND,20230519,88.6,88.6,85.45,85.8,108,
BOMDYEING,20230519,83.95,84.0,81.55,82.6,855625,
